Brief Description,Primary Cause,Hazardous Element,Initiating Mechanism,IM2,Pivotal Element 1,Pivotal Element 2,Pivotal Element 3,Activity Type,Potential Accident/Incidence,Potential Target,Potential Threat
The Galvanized cage of size 2.50 2014 weight of 1200 kg got fallen inside the truck no YYYY  of Nirmala Road lines which was going to  SSP for barbed wire process.After the truck got weigh on weighing scale at some distance the driver applied brake due to that the cage fallen inside the truck. The truck was not proper to put the filled cages.,Slip /trip /fall,,,,,,,Main Road,,property,property damaged
"On 27/09/2016 at 10:15 am , Mr. Jaiswal - supervisor  of M/s A.B.Labour was coming from dispatch office to new weighing bridge by footpath but his foot dashed to bar while walking on road ,  but he didn&#39;t get injury as he wore safety shoes. That extra length bar came out from road concrete. it needs to be cut so that no one can dash to that bars.",Poor Road Condition,,,,,,,Other Roads,Hit,people,injury
One indigo car that was hired coming from improvement  centre &amp; going towards LD#2 office by bringing Birendra Kumar a project engineer. This car was stopped at the L Town traffic signal in the red signal. A Miller of R.K.CONST   driving by Mr Surendra Singh g.p.no.Tsp/538676/1016  was coming from Central store after unloading the concrete mixture .it was standing at L Town traffic signal behind the car in the red signal. But in the downwards side his hand brake was not in breaking position. Due to hand brake not applied by the driver of the miller moves downwards &amp; dashed to the car. The miller was working for ENGG&amp; PROJECT.no any injury. The medical check-up done by the driver and found ok.Damage- the indigo car damaged badly from back side,Vehicle Dashing,,,,,,,Main Road,,,
dumper dash the Indicative barication during taking back,Run Over,,,,,,,Other Roads,,,
One lady of Sai Fuel was carrying a hand trolley and passing by the ramp from TWP1 to TWP2 adjacent maintenance bhavan toilet. She was pushing the trolley from behind &amp; could not control it on the ramp. She tried hard to control the trolley &amp; in the process lost her own balance &amp; was about to fall when she lost the grip on the trolley &amp; was saved. The trolley hit side wall ahead &amp; stopped otherwise it could do more damage.,Vehicle Dashing,,,,,,,Other Roads,,person,injury
"at 11.55 am one trailor # NL02N0828 OF MICCO carrying duct for SP=1, and job was under engineering project , material height was too high and during passing under diamond crossing, during that loaded material dashed with cable gantry &amp; damage it&#39;s support beam slightly, and loaded duct becomes bend.",Vehicle Dashing,,,,,,,Main Road,,,
Operator  was  stuck  during walking on pathway  due to  chamber  cover   was below  ground level,Slippary Pathway,,,,,,,Other Roads,,,
"Farana was moving from TWP - 1 to SSP. When the driver took the vehicle outside the main gate, as the boom is lengthy, it was protruding till the middle of the road. A speeding car almost hit the boom of the farana. The farana driver was not able to see the road as there was no mirror or helper to guide him. ",Vehicle Dashing,,,,,,,Main Road,hit ,"person, property","injury, property damaged"
While entering the maintenance bhawan got struck with handle provided on chukred plate laid at maintenance entrance and nearly fallen down .need to remove that handle and make it plane so that it can be avoided.,Poor Road Condition,,,,,,,Other Roads,Struck,"person, property",property damaged
While parking car inside side parking it hit the  indicative barricading,Run Over,,,,,,,Other Roads,,,
betbeen store and lrpc entrance civil work running and leg sliped,Poor Road Condition,,,,,,,Other Roads,,,
"Vehicle No YYYY  entered inside our plant for loading of FECr , after taking tear weight at our weigh bridge . Said vehicle was directed to place for loading the material while turning and placing the vehicle inside Yard, our water sprinkling point got damaged by vehicle.",Neglegent Driving,,,,,,,Other Roads,,,
A biker comes from village side and trying to avoid the humps by diverging the side of humps . the bike was skied when he trying to come again on roadhe suddenly put down their leg and make bike stable... Otherwise he fall and injury will occurred ,Neglegent Driving,,,,,,,Other Roads,fall,person,injury
When I called Mr. Panday of Ghanashyam fabricators he was walking towards my CAR. &amp; his leg slipped slightly on floor,Slippary Pathway,,,,,,,Other Roads,,,
"For the tree plantation at plant primises behind old SR machines area myself alongwith plant team doing the work of tree plantation , during that time while standing near the perling kept for replacement of plant damaged perlin one perlin topled as Mr. Rodrigs sir kept his foot on perlin for standing during that time my foot was below the perlin but luckily not got injured.",Poor Road Condition,,,,,,,Other Roads,slip/fall,person,injury
Rain water accumulation on green walk way. Cause Left foot got slip,Slippary Pathway,,,,,,,Main Road,,,
"Road near despatch area is uneven, while walking on it leg got tilted and body got unbalanced.  Need to repaired the plant inside road. ",Slip /trip /fall,,,,,,,Main Road,,,
leg has slipped near lrpc shed due to uneven road no proper step between  road and earth  ,Poor Road Condition,,,,,,,Other Roads,,,
Truck No. YYYY of Nirmala Roadline doing internal shifting of Pkld wire rods from TWP2 to SSP in night shift. Around 100Mtrs long wire was stretched by the truck. Dia of Wire rod is 14 mm from JSPL,Neglegent Driving,,,,,,,Main Road,Hit,"property, person","injury, property damaged"
"Forklift no YYYY was passing from the green zone of the w/d dept. from pickling towards the garage. As the time was of the shift starting and the people was going towards the workplace. The forklift pass from the pathway without any horn of siren. This may hadlead to accident, asked the driver regarding the horn, he told that he was going to repair the horn itself.",High Speed,,,,,,,Other Roads,Hit,person,injury
"Forklift from sanj lifters arranging the cages and aura amazda shifting the cages, at the time same time sanj lifters forklift coming from godown area and the aura amazda lifter moving towards GI weighing scale both forklift could not understand each other and got dash.",Neglegent Driving,,,,,,,Other Roads,,,
"While passing through shutter (which was partially closed )for going to main road opp. M/c 142 pay off side , safety helmet got stuck up to bottom portion of shutter plate.",Poor Road Condition,,,,,,,Other Roads,,,
"At around 2:45 PM AWS bus was standing near LD#1 ,CC#2 slag pit area bus stop and passengers were getting down from the bus, meanwhile a car  coming from L town gate  towards LD-1 contractor canteen site dashed the rear right end portion of the bus from left side. During dashing the car left bonnet portion got badly damaged as well as  bus right bumper also got damaged. No any injury was taken place in this incidence. ",Vehicle Dashing,,,,,,,Main Road,,,
On 16th Dec&#39;2016 at 1 pm 3-4 buffalos are going beside the road and one vehicle was going on the road with speed. Immediately the buffalos started crossing the road. The driver of the vehicle alerted himself and did not stop himself but missed the buffalos by a whisker. He could have collided the vehicle.,Animal Dashing,,,,,,,Other Roads,Collision,animal/person,injury
Mr. Sajid Khan of M/s U Architect and Engg. Co. Pvt. Ltd. was going through the road with a pulsar bike. One staff was seating at the behind.  Suddenly the person at the back told Mr. Sajid to stop the bike and he applied the front brake immediately. The driver and the person behind as about to fall as the bike gave a jerking but Mr. Sajid kept his foot on the ground and averted any injury.,Neglegent Driving,,,,,,,Other Roads,Falling,person,injury
electrical cable on the road and leg is entangle with cable and fall down,Slippary Pathway,,,,,,,Other Roads,,,
Mr. Sajid Khan of M/s U Architect and Engg. Co. Pvt. Ltd. was walking on the road after closing the site for lunch. Suddenly he stepped on the stone as he was not focussed. But he protected himself from falling and avoided injury.,Poor Road Condition,,,,,,,Other Roads,Falling,person,injury
On 30/11/2016 at 10. 30 am I was walking through the road along with Mr. MD Ershad Alam of M/s U Architect &amp; Engg. Co. Pvt. Ltd.  for site visit. I was about to cross the road when a two wheeler came with full speed and Mr. Ershad Alam cautioned me timely to avoid accident. I thanked Mr. Ershad Alam for his prompt action.,High Speed,,,,,,,Other Roads,Collision,person,injury
On 24th March&#39;17 at about 12.30 pm one JCB of M/s B.S.Mining Corporation Pvt. Ltd. was engaged in scarification of road for construction of road. Suddenly the bucket of the JCB hit the FO cable conduit which was within 6 inches below the road. The cable conduit was not damaged and the work was stopped immediately. ,Poor Road Condition,,,,,,,Other Roads,"Electrocution, dashing","person, property","injury, property damaged"
A bicycle suddenly came in front of me and I applied brakes on my car.,Neglegent Driving,,,,,,,Main Road,Collision,People,injury
"When I was boarding the bus, it was stationery. As I was the last passenger the driver started the bus resulting in my unbalance ( as I had not held anything at that moment - Just arrived). I balanced myself via railing.",Slip /trip /fall,,,,,,,Main Road,Falling,people,injury
While going to PC#1 Pipe conveyor project from stacker tail end our project Vehicle (Bolero) tyres got slipped due to uneven surface. Road got disturbed due to rainfall &amp; need to be corrected by Mines.,,,,,,,,Other Roads,Slip/fall/topple,"people, property","injury, property damaged"
Spped braker provided in side colony main road. The vehicle (2 wheeler) could not cross the braker because the braker is not slope so  the front whell hit the braker and the rider unbanced.  ,Poor Road Condition,,,,,,,Main Road,,,
"YYYY vehicle was over speeding at 50-60km/hr near RMP office uphill blind curve &amp; myself was descending down on the way to JEIM, it was about to hit my two wheeler,somehow collision averted.",High Speed,,,,,,,Other Roads,collision,"people, property","injury, property damaged"
"While going to railway crossing area on bike, due to uneven road &amp; rocks on the road, my bike was slipped &amp; I was just about to fall &amp; balanced",Poor Road Condition,,,,,,,Other Roads,slipped/ fall,person,Injury
There is a level difference between drain outer and surrounding area where project will be executed. The existing area is on slope which may cause slip/trip of visiting person.,Slippary Pathway,,,,,,,Other Roads,Slip/ trip/Fall,person,injury
Truck mounted crane boom strike with overhead power cable over the road. Boom of the truck mounted crane was not 100% down &amp; truck was running in unsafe condition. As a result it strike with cable &amp; moved appx 10 mtr with stuck cable. Same was observed timely by some persons standing near the road side. Vehicle was stopped immediately &amp; possible incident of property damage &amp; injury avoided. Cable was removed from the boom later &amp; corrected after cut-off the power supply.,Neglegent Driving,,,,,,,Other Roads,Hit,"person, property","Property Damage, injury"
The road surface was damaged and pot holes was formed near high way gate .The pot holes were filled up with cement concrete and matching the road surface.,Poor Road Condition,,,,,,,Main Road,Struck,"people, property","property Damage, injury"
The water line man hole wascovered by MS checkered plate but raising the plate and angle thickness above the road surface. It leads striking incident.The man hole wall surface dismantled down and the fabricated cover fixed flush in the road surface level.   ,Slip /trip /fall,,,,,,,Main Road,Fall/ topple,"people, property","property Damage, injury"
Trailer went to deep muddy pit due to heavy rain and it takes too much time to take out,Slippary Pathway,,,,,,,Other Roads,Slip/Topple,"people, property","property Damage, injury"
when contract employee going outsite from im section with their own two wheeler may collied with other two wheelers comes from south side on the road,High Speed,,,,,,,Other Roads,collision,"people, property","property Damage, injury"
"At about 1140 am on dated 21st Aprilâ??16, in front of RMP guest house, BOLERO NO YYYY of TPL , driven by Mr Roy , hit to rear side of parked  BOLERO NO YYYY belongs to TPL, during their parking. Damaged noticed.",Neglegent Driving,,,,,,,Other Roads,Hit,property,property Damage
"Slurry is accumulated on entrance road while shifting, a motorcycle rider is coming towards plants has lost his balance due to slippery road  and nearly escaped from an accident. ",Slippary Pathway,,,,,,,Main Road,slip,"people, property","property damged, injury"
"Bolero YYYY of M/s NB security solution India was coming from PH # 4 &amp; has to go Mango to received ODC material loaded trailer. Bolero exit through main gate &amp; reached near business centre. Driver heard an abnormal sound &amp; steering moved suddenly right side, Driver try to control vehicle by taking left but he could not success to control resulting bolero run over on road divider near business centre. In this process front bumper of bolero &amp; three to four piece of road divider got damaged. No injury reported",Vehicle Dashing,,,,,,,Main Road,,,
A dumper of leading (involved for transportation of excavated soil for road construction by the Dept.) was standing on the road side adjacent to the proposed compressor room of RMBB1. The vehicle was in stopped condition and the driver was in his cabin without seat belt. He was in deep sleep and the vehicle was found without any scotch block. There were chances of rolling of vehicle causing accident as the road is very busy. the driver was the waken up and was asked to put the scotch block and not to sleep in the working hours.,Vehicle Dashing,,,,,,,Main Road,Slip,Property,property damage
MANY VEHICALS ARE PARKED IN PARKING AREA AND SomE OF THE DRIVERS AT CHALLAN COUNTER ARE WAITING OUTSIDE FOR THERE NO IN QUE...SUDDENLY HEAVY RAIN STARTED ..ONE OF THE DRIVER RUSHED TOWORDS HIS VEHICAL FOR TAKING SHELTER BUT HE SLIPPED AND NEARLY ESCAPED FRom THE INCIDENT. ,Poor Road Condition,,,,,,,Other Roads,Slip,"people, property","injury, property damaged"
Near highway gate the visibility was poor because of tree branches spread out.  During shift start &amp; ending employees are facing problem. ,Vehicle Dashing,,,,,,,Main Road,Fall/Hit/ Collision,"people, property","injury, property damaged"
The height of the designated parking shed of officers to be increase.I was striked against the down structure when i was leave from shed. No injury and no property damage found.  ,Poor Road Condition,,,,,,,Other Roads,Hit,person,injury
"A crawler carne was moving from main road and was crossing under bridge. During course of crossing, it badly damaged encasing of columns on east side of road.",Vehicle Dashing,,,,,,,Main Road,Collision,Property,property damage
"A Crawler crane model no SCX 1500-2 of GAC Micco srarted march from GCP#1 and had to go GBF via security control room road. While crane marching through High Line in front of FMD,Crane damaged the foot path RCC concrete and right side roller pin of crane was dislocated.Due to this crane was unable to move and stopped at OHS island.No injury reported.",Vehicle Dashing,,,,,,,Main Road,,,
"Name: Surrender PrasadVendor: Panther security Services.Vendor Code : P182 Gate pass no. TSP/569949/1016Vehicle No. YYYY Name: S K A YunusVendor: Gillenders Rbuthnot &amp;co.Working Dept: E&amp;PVendor Code : M439Gate pass no. TSP/619850/1216Vehicle No. YYYY Panther security services bolero coming from burmamines gate to auction yard gate and another bus of mahiwal was reversing on the security patrolling road , due to that the bolero driver stopped bolero on the right side of the road and waiting to move the bus. In the mean time bus dashed the bolero rear portion and damaged the back light and back side body no any injury reported",Vehicle Dashing,,,,,,,Other Roads,,,
"while coming  after taking breakfast from  colony  at 9 20 AM morning ,she was coming by scooty and one street dog came suddenly. she applied brake &amp; got unbalanced, no injury",Animal Dashing,,,,,,,Other Roads,Slip/ Trip,Person,injury
"An Empty dumper YYYY of Shree XY Enterprises was coming after unloading soil at I.Bl.Fce &amp; had to go SP # 4 for taking load. On the way near diamond crossing the dala of said dumper which was in raised condition entangled with height barrier, &amp; due to motion it got toppled in its left side. No any injury",Neglegent Driving,,,,,,,Main Road,,,
Tralior  bearing no. YYYY of L&amp;T was entered from wrong side and dashed  Pick up van bearing registration No  of XY & CO. working under pellet plant which was coming from another side.No any injury reported.,Vehicle Dashing,,,,,,,Other Roads,,,
WHILE TAKING BACK THE VEHICLE IT HIT STEEL COLUMN,Neglegent Driving,,,,,,,Other Roads,,,
"WHILE TAKING REVERSE OF MY VEHICLE IT HIT THE STEEL COLUMN,0NLY BACK LIGHT GOT DAMAGED.",Neglegent Driving,,,,,,,Other Roads,,,
I WAS ON MORNING WALK SUDDENDLY A MOTOR BIKE CROSSED ME WITH MOTION BY MARGINALY TOUCHING AND I ESCAPPED NERROWLY.,High Speed,,,,,,,Other Roads,Hit,person,injury
Welder of M/s XY Electrical was working on inside road without permanant barrication. ,Run Over,,,,,,,Other Roads,,,injury
A Bike Rider did the sudden Right Turn without giving any indicator and horn .... in mean time a Light four wheeler vehicle take a left turn and both are close save.. both have a controlled slow speedThe four wheeler driver called the bike and biker feels that was a wrong doing ,Neglegent Driving,,,,,,,Other Roads,collision,property,property damaged
WHILE PARKING CAR IT NERROWLY ESCAPED TO HIT CORRUGATED SHEET WALL,Run Over,,,,,,,Other Roads,hit,property,property damaged
A loaded truck observed reversing near sloped edge of lagoon could have resulted in toppling but stopped by workmen working overthere. A hump type spead breaker constructed to avoid any untoward incident.,Neglegent Driving,,,,,,,Other Roads,toppling,property,property damaged
"During turning at CDQ#10 area(near Bar Bending yard#10), one trailer registration no , with structure material, hit the barricade of bar bending yard &amp; got struct inside the barricade.",Neglegent Driving,,,,,,,Other Roads,hit,property,property damaged
"Ms Akbari Anjum while coming for duty  her scooty got slipped , she was about to fall in left side but balancedNo Injury to person",Poor Road Condition,,,,,,,Other Roads,Slip,person,injury
One  F-23 was observed working beside the road near HSM which was having no seat for flagman. This may lead to accident.,Poor Vehicle condition,,,,,,,Main Road,slip,person,injury
"Near IBF drop gate,incident occure while drop gate lower down on stopped dumper dala of Kiran construction pvt Ltd which working under jusco and L&amp;T CDQ under department Engg Project.No injury and damage incurred.",Poor Road Condition,,,,,,,Other Roads,hit,property,property damaged
During pushing the gas  trolley with O2 cylinder the trolley was toppled . ,Poor Vehicle condition,,,,,,,Other Roads,,,
"In front of town office on main road, hard barricading is done for security check. There is passage for only one vehicle at a time. A female contractor worker was passing from between the barricading &amp; that time a taxi car also entered between barricading &amp; passed very close to the female employee (car was about to hit)",Neglegent Driving,,,,,,,Other Roads,,,
"A heavy vehicle was standing on road near entrance of coke shed &amp; started to back without using back horn . We, myself &amp; my colleague were coming on the way nearby 15 feet away from the Truck & saw the vehicle was taking back.",Neglegent Driving,,,,,,,Other Roads,hit,person,injury
"On Dt.24.06.2016 at approx 7.10 AM, Ambulance driver start the ambulance and try to move , at the same time the operator touched the other vehicle parked nearby. There  is no such damage found. only two vehicle touch each other.  ",Vehicle Dashing,,,,,,,Other Roads,hit,property,property damaged
"One dumper was standing near weighbridge for weighment. Driver came out of dumper to take water bottle from other Dumper Operator .Suddenly dumper started to roll ,up to a little bit of distance and stopped without causing any damage because it became stable at  upslope of the Road. ",Neglegent Driving,,,,,,,Other Roads,Roll down ,property,property damaged
"One dried big branch fell down on the road (VTC Road) when a  motor bike was just escape which was parked near to the tree, it block the road which was obstruct all the pedestrian and vehicle movement..... it damage the boundary wall of the nearest quarter... Its a entry point of the Welding section.. The chance of FIRST AIDS will arise when the biker, worker, pedestrian, or residency of the 3RSF1 comes under the fall. ",Slippary Pathway,,,,,,,Other Roads,Trip/fall,"property, people","property damaged, injury"
One security guard was coming to his room from bathing point were slipped on wet surface and fell down. The surface was wet due to rain. ,Slippary Pathway,,,,,,,Other Roads,,,
On evening of 27th at about 0615  many vehicle are park hapazardly near children park of colony. there are so many personnel are geathere for celibrating new year events. Suddunly a car driver has taken a sharp turn and about to hit a person. ,Vehicle Dashing,,,,,,,Other Roads,,,
Myself was coming from home for duty by motor cycle and I was imbalanced in front of gate road during turning ( way to plant ). Motorcycle was fallen on the road and jumped to save myself.,Slippary Pathway,,,,,,,Main Road,,,
"At about 03:30Hrs a green tree fell down on electrical street light pole near security post, at Chief residence no injury reported, the area barricaded and the officer of sukinda administration visited the incident site, The company property  light pole, TV cable, water pipe connection were damaged....",,,,,,,,Other Roads,,,
On 11th Dec 2016 at about 2.00 PM while reversing the   Atwal bus it dashed the stay wire of  HT overhead  line  pole near the workshop gate. Stay wire was got damaged .No any injury to any person. The driver name is Mr Pabitra Mahakud.,Neglegent Driving,,,,,,,Other Roads,,,
During starting of 2nd shift one of the employee rushed to the parking place and he got down  with vehicle on start mode. Suddenly the vehicle fall down and luckily nothing happened to anyone. this type of practice may lead to an incident. ,Neglegent Driving,,,,,,,Main Road,,,
Front wheel(Right side) of JCB NO- YYYY has Exited during weighment of Ferro bag. luckily nothing has happen.,Poor Vehicle condition,,,,,,,Other Roads,,,
"While coming to Electrical section a big piece of concrete falling from the roof of Pump house , It is the side of the roof towards electrical section. ",Poor Road Condition,,,,,,,Other Roads,,Property,Injury
There is a dich observed on the left side of road while coming from joda west MGM gate near to the wall of Jusco made flat.It has the potential to cause incident.It shold be filled with soil.,Slip /trip /fall,,,,,,,Main Road,,,
"After dropping officers at new office building , side door of a four wheeler (Bolero) didn&#39;t get closed properly . When the driver moves the vehicle without notice that the door was opened. At the same time two of our officers(Mr. M. Mukherjee and Mr. B.C. Sahoo) who were standing near by it, saw that and shout at driver to stop the vehicle. The driver immediately stop the vehicle and Mr. M. Mukherjee closed the door. It is a near miss as the open door could have been hit the other vehicle or any person on the road. So there may be a chance of LTI or property damage .",Neglegent Driving,,,,,,,Other Roads,,,
Some local person going by motor cycle has just skidded in order to avoid speed breaker given on the road and hit the plactis barricade provided infront of administrative office. No injury happened to person but barricaded slightly damaged.,Neglegent Driving,,,,,,,Main Road,,,
"The water tanker carrying water to Joribar mines, while going out from the main gate, got slight skid due to muddy road condition and was about to hit the Stop signage board, grouted at the main gate. Nothing untoward happened.  ",Slippary Pathway,,,,,,,Main Road,,,
"While I was coming by Bolero from Joda to Bichakundi  and just cross the new weighbridge exit point and very close to the entry point , one AMW loaded with finished ore came out suddenly from the entry side . Due to bushes that area was blind . As our Bolero speed was approx 25Km/Hr driver could managed to stopped  the vehicle otherwise Bolero would hit the AMW right side dala",High Speed,,,,,,,Main Road,,,
Mining team was coming for daily morning meeting from joribar mines to bamebari admin office by mines vehicle through PWD raod. On the way a tipper passes and a small rock bounced by while pressure of tipper & hit to the front glass of mines vehicle. There is no any injury or property damage. This is reported by Mr. Putul Mahakuda.,Poor Road Condition,,,,,,,Main Road,,,
"One over loaded truck bearing registration No which was carrying iron ore from M/s KJS to Jurudi railway siding the condition of tipper was not very sound moreover there is no any licence of the driver,there is a sharp turning and high gradient in Bichakundi Malda main road which is very close to our mines. In high gradient area driver unable to shift the vehicle in low gear as a result it rolled back and dashed the wall side, damaged the differential assembly and pulled out the rear wheel set.If it rolled down right side it may go 200 meter downward which may lead any fatal case.",Poor Road Condition,,,,,,,Main Road,,,
due to sandy place a bike was misbalanced but since speed was low so manged to retain the balance.,Poor Road Condition,,,,,,,Other Roads,Slip,"person, property","injury, property damaged"
While turning and giving indicator a bike rider came in between and was about to strike my vehicle but at random I pushed brake and got saved,High Speed,,,,,,,Other Roads,Collision,"peoplr, property","injury, Property Damage"
due to sand on the road a bike got slipped however he retained his balance as he was travelling at low speed.,Slippary Pathway,,,,,,,Main Road,slip,"property, people","injury, Property Damage"
